First Name,Last Name,Course Name,Result
Person,001,Maths101,Fail
Person,002,Maths101,Fail
Person,003,Maths101,Fail
Person,004,Maths101,Fail
Person,005,Maths101,Fail
Person,006,Maths101,Fail
Person,007,Maths101,Fail
Person,008,Maths101,Fail
Person,009,Maths101,Fail
Person,010,Maths101,Fail
Person,011,Maths101,Fail
Person,012,Maths101,Fail
Person,013,Maths101,Fail
Person,014,Maths101,Fail
Person,015,Maths101,Fail
Person,016,Maths101,Fail
Person,017,Maths101,Fail
Person,018,Maths101,Fail
Person,019,Maths101,Fail
Person,020,Maths101,Fail
Person,021,Maths101,Fail
Person,022,Maths101,Fail
Person,023,Maths101,Fail
Person,024,Maths101,Fail
Person,025,Maths101,Fail
Person,026,Maths101,Fail
Person,027,Maths101,Fail
Person,028,Maths101,Fail
Person,029,Maths101,Fail
Person,030,Maths101,Fail
Person,031,Maths101,Fail
Person,032,Maths101,Fail
Person,033,Maths101,Fail
Person,034,Maths101,Fail
Person,035,Maths101,Fail
Person,036,Maths101,Fail
Person,037,Maths101,Fail
Person,038,Maths101,Fail
Person,039,Maths101,Fail
Person,040,Maths101,Fail
Person,041,Maths101,Fail
Person,042,Maths101,Fail
Person,043,Maths101,Fail
Person,044,Maths101,Fail
Person,045,Maths101,Fail
Person,046,Maths101,Fail
Person,047,Maths101,Fail
Person,048,Maths101,Fail
Person,049,Maths101,Fail
Person,050,Maths101,Fail
Person,051,Maths101,Fail
Person,052,Maths101,Fail
Person,053,Maths101,Fail
Person,054,Maths101,Fail
Person,055,Maths101,Fail
Person,056,Maths101,Fail
Person,057,Maths101,Fail
Person,058,Maths101,Fail
Person,059,Maths101,Fail
Person,060,Maths101,Fail
Person,061,Maths101,Fail
Person,062,Maths101,Fail
Person,063,Maths101,Fail
Person,064,Maths101,Fail
Person,065,Maths101,Fail
Person,066,Maths101,Fail
Person,067,Maths101,Fail
Person,068,Maths101,Fail
Person,069,Maths101,Fail
Person,070,Maths101,Fail
Person,071,Maths101,Fail
Person,072,Maths101,Fail
Person,073,Maths101,Fail
Person,074,Maths101,Fail
Person,075,Maths101,Fail
Person,076,Maths101,Fail
Person,077,Maths101,Fail
Person,078,Maths101,Fail
Person,079,Maths101,Fail
Person,080,Maths101,Pass
Person,081,Maths101,Pass
Person,082,Maths101,Pass
Person,083,Maths101,Pass
Person,084,Maths101,Pass
Person,085,Maths101,Pass
Person,086,Maths101,Pass
Person,087,Maths101,Pass
Person,088,Maths101,Pass
Person,089,Maths101,Pass
Person,090,Maths101,Pass
Person,091,Maths101,Pass
Person,092,Maths101,Pass
Person,093,Maths101,Pass
Person,094,Maths101,Pass
Person,095,Maths102,Pass
Person,096,Maths102,Pass
Person,097,Maths102,Pass
Person,098,Maths102,Pass
Person,099,Maths102,Pass
Person,100,Maths102,Pass
